,Subcategory
0,3D Printing
1,3ds Max 
2,Ableton
3,Acrylic Painting 
4,Adobe After Effects 
5,Adobe Animate
6,Adobe Bridge
7,Adobe Dreamweaver 
8,Adobe Flash
9,Adobe Illustrator 
10,Adobe Lightroom 
11,Adobe Photoshop
12,Adobe Premiere Pro 
13,Adobe Xd
14,Affinity Designer
15,Affinity Photo
16,Anatomy
17,Animals Drawing
18,Ansys
19,Architecture
20,Articulate Storyline
21,Autodesk Fusion 360
22,Bird Drawing
23,Blender 
24,Career Development
25,Carpentry
26,Cartoon Characters Drawing
27,Cat Drawing
28,CATIA
29,Character Animation 
30,Chibi Characters Drawing
31,Chord Progressions
32,Cinema 
33,Clip Studio Paint
34,Copywriting
35,Creativity
36,Crochet
37,CSS 
38,Cute Drawings
39,Dance
40,Davinci Resolve 14
41,Design
42,Digital Marketing
43,Digital Painting 
44,Dog Drawing
45,Doodle Art
46,Drawing 
47,Drawing Faces
48,Drawing for Kids
49,Drums
50,Embroidery
51,Entrepreneurship
52,Eye Drawing
53,Facebook
54,Figma
55,Fitness
56,FL Studio
57,Food Drawing
58,Game Character Creation
59,Game Development 
60,Gaming
61,Gardening
62,Gimp Photo Editing
63,Godot Game Engine
64,Guitar 
65,Halloween Drawing
66,Hip Hop Dance
67,Houdini
68,HTML
69,InDesign 
70,Instagram
71,Jewelry Making
72,Keyshot
73,Logo Design 
74,Low Poly Character
75,Lumion
76,Makeup Artist
77,Manga Studio
78,Maya 
79,Merch by Amazon
80,Microsoft Powerpoint
81,Mobile Development
82,Music
83,Onshape
84,Painting 
85,Pentatonic Scale
86,Photography
87,Piano 
88,Pixel Art for Games
89,Powtoon
90,Pro Tools
91,Procreate 
92,Productivity
93,RealFlow
94,Resin Art
95,Revit 
96,Sculpture
97,Silversmithing
98,Singing 
99,Sketch 
100,SketchUp 
101,Sony Vegas
102,Studio One
103,Substance Painter
104,Technical Writing
105,Tinkercad
106,Toon Boom
107,Creativity
108,Fashion
109,Trumpet
110,UI Design
111,Unity
112,UX Design 
113,Video Editing 
114,Videography 
115,Violin
116,Watercolor Painting 
117,Web Design
118,Writing 
119,YouTube
120,ZBrush 
121,Adobe
122,Autodesk
123,Animation
124,Graphic Design
